,tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,PlaneYear
2355,N604AT,Corporation,BOEING,08/28/2001,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
2356,N604AW,Corporation,AIRBUS INDUSTRIE,06/09/2000,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
2357,N604DL,Corporation,BOEING,06/20/2007,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1984
2358,N604SK,Corporation,BOMBARDIER INC,10/25/2006,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
2359,N604SW,Corporation,BOEING,02/14/2005,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2360,N605AW,Corporation,AIRBUS INDUSTRIE,01/25/2000,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
2361,N605DL,Corporation,BOEING,06/22/2007,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1984
2362,N605JB,Corporation,AIRBUS,02/10/2005,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
2363,N605SW,Corporation,BOEING,05/19/2004,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2364,N606DL,Corporation,BOEING,02/08/1985,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
2365,N606JB,Corporation,AIRBUS,02/23/2005,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
2366,N606NW,Corporation,MCDONNELL DOUGLAS,04/01/1996,DC-9-32,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1968
2367,N606SK,Corporation,BOMBARDIER INC,08/01/2006,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
2368,N606SW,Corporation,BOEING,08/29/1995,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2369,N607AS,Corporation,BOEING,07/30/1999,737-790,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
2370,N607JB,Corporation,AIRBUS,02/25/2005,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
2371,N607SK,Corporation,BOMBARDIER INC,08/01/2006,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
2372,N607SW,Corporation,BOEING,08/31/1995,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2373,N608DA,Corporation,BOEING,07/03/1985,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
2374,N608JB,Corporation,AIRBUS,04/13/2005,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
2375,N608NW,Corporation,MCDONNELL DOUGLAS,01/26/1996,DC-9-32,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1968
2376,N608SK,Corporation,BOMBARDIER INC,08/01/2006,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
2377,N608SW,Corporation,BOEING,09/07/1995,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
